id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
11005;4-Grain Flakes;1404;3.4;58.8;11.1;0;0;0;1.3;0.2;0;0.1;0;0.2;0.8;57.5;11.5;7.9;1.3;2.7;1.3;0.9;0.5;0;<0.1;1.2;1243;83;0;0;0;68.2;30.0;4.1;20.0;396.0;109.0;5.0;12.7;327.8;8.8;2.9;150.0;39.8;5.2;2.7;0.33;0.10;0.24;0.2;195.8;0;0;0;0.4;3.20
35146;4-Grain Flakes, Gluten Free;1569;4.6;68.4;10.9;0;0;0;0.9;<0.1;0;<0.1;0;<0.1;0.6;67.5;6.1;3.1;0.7;4.2;1.8;1.6;0.8;0;<0.1;1.7;1729;65;0;0;0;39.7;27.5;3.5;11.9;283.0;97.2;87.8;223.6;306.9;10.3;2.6;147.3;29.1;3.8;1.4;0.20;0.08;0.22;1.7;361.4;0;0;0;0.5;1.28
32570;4-Grain Flakes, Riihikosken Vehnämylly;1443;4.1;59.0;11.6;0;0;0;1.3;0.1;0;0.1;0;0.2;0.8;57.7;11.2;7.2;1.3;3.5;1.6;1.2;0.7;0;<0.1;1.5;1518;84;0;0;0;62.7;33.4;4.2;20.0;399.6;115.6;3.2;8.2;356.4;9.4;3.0;162.0;40.6;5.0;2.3;0.20;0.08;0.24;0.2;148.1;0;0;0;0.7;2.98
379;Almond;2517;51.2;6.6;24.1;0;N/A;0;6.6;0.5;N/A;0.3;0;0;5.8;0;12.5;6.9;0.3;49.0;12.2;32.7;4.1;0;0.3;11.9;11932;270;0;0;0;138.5;276.0;5.2;5.0;740.0;278.0;1.0;2.5;490.0;4.0;3.3;237.0;48.0;8.0;4.0;0.06;0.70;0.25;0.2;4.0;0;0.5;0;26.4;0.30
34844;Almond Drink, Sweetened, Alrpo;100;1.0;3.0;0.5;0;0;0;3.0;<0.1;0;<0.1;0;0;3.0;0;0.2;0.1;<0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.3;14.9;5.6;49.9;127.0;9.8;0.1;<0.1;4.7;1.0;0.2;<0.1;<0.01;0.21;<0.01;<0.1;<0.1;0.4;<0.1;0.8;1.8;<0.01
34738;Almond Drink, Unsweetened, Alrpo;50;1.0;0.1;0.5;0;0;0;0.1;<0.1;0;<0.1;0;0;0.1;0;0.2;0.1;<0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.2;14.9;5.6;49.9;127.1;9.8;0.1;<0.1;4.7;1.0;0.2;<0.1;<0.01;0.21;<0.01;<0.1;<0.1;0.4;<0.1;0.8;1.8;<0.01
31237;Amaranth Flakes;1545;7.0;59.0;13.6;0;0;0;1.7;<0.1;0;0.3;0;<0.1;1.4;57.3;6.7;N/A;N/A;6.4;2.8;2.1;1.5;0;<0.1;2.7;2736;84;0;0;0;24.0;17.0;1.8;N/A;353.0;25.0;35.0;89.2;331.0;70.7;0.2;181.0;82.0;5.6;2.6;0.07;0.11;0.07;<0.1;29.0;0;2.5;0;1.2;0
829;Anchovy;1076;11.4;9.6;28.9;0;N/A;N/A;9.6;0;N/A;0;0;0;9.6;0;0;0;0;10.2;3.0;4.2;3.0;0;2.7;0.2;175;146;768;1498;66.7;0;90.0;2.1;45.0;190.0;13.0;4140.0;10548.7;100.0;68.0;1.8;324.0;16.0;7.6;2.2;0.18;0.20;0.02;14.9;0;11.0;0;5.7;1.0;1.35
35606;Angelica;196;0.3;3.0;3.9;0;N/A;N/A;0.9;N/A;N/A;N/A;0;N/A;N/A;2.0;8.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;246.0;0.7;N/A;838.0;33.0;0.7;1.8;87.0;0.5;0.4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;103.0;0;N/A;N/A
28916;Apple, Average, With Skin;155;<0.1;7.7;0.2;0;0.4;0;7.6;4.0;0;1.1;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;27;7;0;0;0;15.9;3.9;<0.1;1.0;99.2;3.7;0.8;2.0;7.8;<0.1;<0.1;3.9;2.5;0.2;<0.1;0.05;0.01;0.01;2.2;70.7;0;5.2;0;0.2;1.74
11060;Apple, Domestic, Without Skin;170;0.1;8.3;0.2;0;0.5;0;8.2;4.4;0;1.0;0;0;2.8;0.1;1.8;1.1;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;38;10;0;0;0;18.3;5.0;0.1;1.1;108.0;4.5;0.9;2.3;9.0;<0.1;<0.1;6.0;2.9;0.2;0.1;0.06;0.01;0.02;1.4;70.8;0;8.0;0;0.2;2.00
28941;Apple, Domestic, With Skin;148;<0.1;7.2;0.2;0;0.5;0;7.1;3.8;0;0.9;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;33;9;0;0;0;18.3;4.3;<0.1;1.0;94.0;3.9;0.8;2.0;7.8;<0.1;<0.1;5.2;2.5;0.2;<0.1;0.05;0.01;0.01;1.2;61.6;0;7.0;0;0.2;5.00
401;Apple, Dried;1157;0.3;60.2;1.0;0;2.7;0;60.2;31.7;0;8.6;0;0;19.9;0;8.7;5.6;4.7;0.3;0.2;<0.1;<0.1;0;<0.1;0.2;172;43;0;0;0;101.7;38.0;1.1;0;750.0;32.0;6.1;15.5;54.0;0.3;0.2;12.0;0;0.8;0.6;0.18;0.16;0;1.0;262.0;0;3.9;0;0.5;11.11
11061;Apple, Imported, Without Skin;187;0.1;9.4;0.2;0;0.4;0;9.3;4.9;0;1.6;0;0;2.8;0.1;1.8;1.1;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;5;0;0;0;18.3;4.0;<0.1;1.1;120.0;4.0;0.9;2.3;9.0;<0.1;<0.1;3.0;2.9;0.1;0.1;0.05;0.01;0.02;3.7;91.8;0;4.0;0;0.2;2.00
28942;Apple, Imported, With Skin;163;<0.1;8.2;0.2;0;0.4;0;8.1;4.3;0;1.4;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;21;4;0;0;0;18.3;3.5;<0.1;1.0;104.4;3.5;0.8;2.0;7.8;<0.1;<0.1;2.6;2.5;0.1;<0.1;0.04;0.01;0.01;3.2;79.9;0;3.5;0;0.2;5.00
33269;Apple Chips;1354;0.8;68.0;1.0;0;2.7;0;67.3;31.1;0;8.4;0;0;19.5;0;15.1;5.5;4.6;0.3;0.2;<0.1;<0.1;0;<0.1;0.2;170;42;0;0;0;100.0;37.9;1.1;<0.1;738.2;31.6;0;0;53.3;0.3;0.2;11.9;0.2;0.8;0.6;0.18;0.16;<0.01;1.0;257.1;0;4.8;0;0.5;10.89
4002;Apple Crisp Delight, Apple, Oat Flakes;650;7.2;19.7;1.7;0;0.3;0;13.2;3.2;0;0.9;<0.1;<0.1;9.0;6.5;2.3;1.2;0.6;6.8;0.9;2.2;3.4;<0.1;0.1;0.8;744;122;0;0;7.6;26.0;9.6;0.6;3.4;124.4;18.6;43.4;110.6;59.4;1.4;0.4;26.4;6.9;0.6;0.2;0.05;0.02;0.05;64.5;92.5;0;4.1;0.3;0.6;4.69
31459;Apple Jam;724;<0.1;42.0;<0.1;0;0.2;0;42.0;1.6;0;0.5;0;0;39.9;<0.1;0.6;0.4;0.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;11;3;0;0;0;6.4;2.4;<0.1;2.4;40.5;1.5;0.6;1.4;3.2;0.2;<0.1;1.6;1.0;<0.1;<0.1;0.02;<0.01;<0.01;0.9;28.3;0;2.1;0;<0.1;0.70
433;Apple Juice, Unsweetened, Vitamin C;209;0.5;10.7;0.2;0;0.4;0;10.7;6.1;N/A;3.1;0;0;1.5;0;0;0;0;0.4;0.3;<0.1;<0.1;0;<0.1;0.3;273;24;0;0;0;6.0;9.0;0.1;1.0;110.0;5.0;3.6;9.2;6.0;0.2;<0.1;20.6;4.0;3.5;3.2;0.06;0.03;0.04;0;16.0;0;30.0;0;0;0.10
